Area Scientifico-Disciplinare;N. ore assegnate complessivamente;Docenti a contratto M;Docenti a contratto F; di cui con cittadinanza NON italiana M; di cui con cittadinanza NON italiana F; di cui appartenenti al ruolo dei docenti di altre universit? M; di cui appartenenti al ruolo dei docenti di altre universit? F;Totale
Scienze matematiche e informatiche                                                   ;120;1;0;0;0;0;0;1
Scienze fisiche                                                                      ;0;0;0;0;0;0;0;0
Scienze chimiche                                                                     ;35;1;0;0;0;0;0;1
Scienza della terra                                                                  ;0;0;0;0;0;0;0;0
Scienze biologiche                                                                   ;283;4;0;0;0;0;0;4
Scienze mediche                                                                      ;215;1;3;0;1;0;0;4
Scienze agrarie e veterinarie                                                        ;3065;65;24;0;0;0;0;89
Ingegneria civile e Architettura                                                     ;30;1;0;0;0;0;0;1
Ingegneria Industriale e dell'informazione                                           ;110;1;1;0;0;0;0;2
Scienze dell'antichit?, filologico-letterarie e storico-artistiche                   ;568;6;7;0;0;0;0;13
Scienze storiche, filosofiche, pedagogiche e psicologiche                            ;804;14;21;0;0;0;0;35
Scienze giuridiche                                                                   ;2057;53;32;0;0;0;0;85
Scienze economiche e statistiche                                                     ;801;12;4;0;0;0;0;16
Scienze politiche e sociali                                                          ;166;4;1;0;0;0;0;5
N.D. ;0;0;0;0;0;0;0;0
Altro;409;19;3;0;0;0;0;22
Totali;8663;182;96;0;1;0;0;278
