Classi di contribuzione (euro);ISCRITTI CORSI DI LAUREA, CORSI DI LAUREA MAGISTRALE, CORSI DEL V.O.;ISCRITTI CORSI DI DOTTORATO;ISCRITTI CORSI DI SPECIALIZZAZIONE;ISCRITTI CORSI DI MASTER di I e II livello
contribuzione non prevista (esclusi esoneri);0;0;0;13
contribuzione finanziata da enti esterni;0;0;0;0
da 0,01 a 100,00 (esclusi esoneri);13;0;0;0
da 100,01 a 200,00;322;0;1;6
da 200,01 a 300,00;98;0;0;0
da 300,01 a 400,00;255;0;0;1
da 400,01 a 500,00;212;0;0;70
da 500,01 a 600,00;78;0;0;2
da 600,01 a 700,00;74;0;0;20
da 700,01 a 800,00;159;0;0;16
da 800,01 a 900,00;187;0;0;0
da 900,01 a 1.000,00;81;0;0;4
da 1.000,01 a 1.100,00;34;0;0;0
da 1.100,01 a 1.200,00;52;0;13;38
da 1.200,01 a 1.300,00;20;0;0;0
da 1.300,01 a 1.400,00;6;0;1;0
da 1.400,01 a 1.500,00;35;0;0;35
da 1.500,01 a 1.600,00;145;0;0;9
da 1.600,01 a 1.700,00;167;0;0;0
da 1.700,01 a 1.800,00;19;0;0;1
da 1.800,01 a 1.900,00;73;0;0;0
da 1.900,01 a 2.000,00;49;0;53;1
da 2.000,01 a 2.500,00;1034;0;0;23
da 2.500,01 a 3.000,00;144;0;121;92
da 3.000,01 a 3.500,00;0;0;0;27
da 3.500,01 a 4.000,00;0;0;0;0
da 4.000,01 a 4.500,00;0;0;0;0
da 4.500,01 a 5.000,00;0;0;0;0
da 5.000,01 a 6.000,00;0;0;0;0
da 6.000,01 a 8.000,00;0;0;0;0
da 8.000,01 a 10.000,00;0;0;0;0
oltre 10.000,00;0;0;0;0
TOTALE;3257;0;189;358
