Tipologia di intervento;ISCRITTI CORSI DI LAUREA, CORSI DI LAUREA MAGISTRALE, CORSI DEL V.O.;ISCRITTI CORSI DI DOTTORATO;ISCRITTI CORSI DI SPECIALIZZAZIONE;ISCRITTI CORSI DI MASTER di I e II livello
 Borse di studio:  N. borse di studio concesse con fondi dell'ATENEO (escluse le borse post-laurea riportate nell'apposita sezione);20;1;0;0
 Mobilit… internazionale:  N. iscritti nell'ateneo coinvolti in programmi di mobilit… internazionale (studenti in uscita);82;20;0;0
 Mobilit… internazionale:     - di cui studenti SENZA borsa  ;5;16;0;0
 Mobilit… internazionale:     - di cui studenti in mobilit… extraeuropea  ;0;2;0;0
 Mobilit… internazionale:     - di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%  ;0;1;0;0
 Mobilit… internazionale:  N. iscritti in atenei esteri coinvolti in programmi di mobilit… internazionale presso l'ateneo italiano (studenti in entrata);77;0;0;0
 Mobilit… internazionale:     - di cui studenti con borsa dell'Ateneo italiano ;0;0;0;0
 Mobilit… internazionale:     - di cui studenti provenienti da Paesi extraeuropei  ;0;0;0;0
 Interventi a favore di studenti con disabilit…:  N. contributi finanziari;0;0;0;0
 Interventi a favore di studenti con disabilit…:  N. interventi non finanziari;10;0;0;0
 Attivit… di collaborazione a tempo parziale:  N. collaborazioni;80;0;0;0
 Posti alloggio e contributi-alloggio:  N. domande posti alloggio;0;0;0;0
 Posti alloggio e contributi-alloggio:  N. posti alloggio assegnati;0;0;0;0
 Posti alloggio e contributi-alloggio:     - di cui assegnati in strutture convenzionate o private;0;0;0;0
 Posti alloggio e contributi-alloggio:  N. domande contributi-alloggio;0;0;0;0
 Posti alloggio e contributi-alloggio:  N. contributi-alloggio assegnati;0;0;0;0
 Altri interventi di tipo finanziario:  N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0
 Altri interventi di tipo finanziario:     - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo ;0;0;0;0
 Altri interventi di tipo finanziario:  N. altri sussidi erogati;0;0;0;0
 Borse di studio post-lauream:  N. borse finanziate con fondi MIUR;0;5;0;0
 Borse di studio post-lauream:  N. borse finanziate da altri Ministeri;0;3;0;0
 Borse di studio post-lauream:  N. borse finanziate dall'Ateneo con fondi propri;0;58;0;0
 Borse di studio post-lauream:  N. borse finanziate mediante convenzione con altri Atenei;0;17;0;0
 Borse di studio post-lauream:  N. borse finanziate con fondi UE;0;44;0;0
 Borse di studio post-lauream:  N. borse finanziate mediante convenzione con altri enti pubblici;0;10;0;0
 Borse di studio post-lauream:  N. borse finanziate mediante convenzione con enti privati;0;0;0;0
